titulo,apresentacao,condicao_clinica,confianca_extracao,contexto,cuidados,diluicao,dose,duracao,especialidade,fonte_arquivo,fonte_pagina,fonte_secao,frequencia,medicamento,modo_de_uso,observacoes,orientacoes,sinais_de_alerta,slug,status_revisao,subcondicao,tags,texto_original,tipo_de_conduta,via
Perfil B — Furosemida (20mg/2ml),,Perfil B,Alta,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,17,Cardiologia > Insuficiência Cardíaca > Perfil B,,Furosemida (20mg/2ml),"Furosemida (20mg/2ml)
º Dose: 0,5-1 mg/kg IV bolus
º Repetir se necessário, máximo de 240 mg/dia
Vasodilatador",Item numerado 1. Cabeçalho próximo: Diurético,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-b-furosemida-20mg-2ml-furosemida-20mg-2ml-o-dose-0-5-1-mg-kg-iv-bolus-o-repetir-se-necessario-maxi,Revisão pendente,Insuficiência Cardíaca,emergência,"Furosemida (20mg/2ml)
º Dose: 0,5-1 mg/kg IV bolus
º Repetir se necessário, máximo de 240 mg/dia
Vasodilatador",Prescrição,IV
Perfil B — Nitroglicerina (25mg/5ml),,Perfil B,Alta,PS,,"º Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.",,,Cardiologia,PDF Guia Prático de Prescrições,17,Cardiologia > Insuficiência Cardíaca > Perfil B,,Nitroglicerina (25mg/5ml),"Nitroglicerina (25mg/5ml)
º Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
º Dose: 5 a 200 mcg/min - IV em BIC
º Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).",Item numerado 2. Cabeçalho próximo: Diurético,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-b-nitroglicerina-25mg-5ml-nitroglicerina-25mg-5ml-o-diluicao-diluir-2-ampolas-em-240-ml-de-sf-0-9-o-d,Revisão pendente,Insuficiência Cardíaca,emergência,"Nitroglicerina (25mg/5ml)
º Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
º Dose: 5 a 200 mcg/min - IV em BIC
º Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).",Prescrição,IV
Perfil C — Dobutamina (250mg/20ml),,Perfil C,Alta,PS,,"º Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC",,,Cardiologia,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,,Dobutamina (250mg/20ml),"Dobutamina (250mg/20ml)
º Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
º Dose: 2 a 20 mcg/kg/min.
º Vazão por Peso:",Item numerado 1. Cabeçalho próximo: Inotrópico,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-dobutamina-250mg-20ml-dobutamina-250mg-20ml-o-diluicao-1-ampola-230-ml-de-sf-0-9-iv-em-bic-o-d,Revisão pendente,Insuficiência Cardíaca,emergência,"Dobutamina (250mg/20ml)
º Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
º Dose: 2 a 20 mcg/kg/min.
º Vazão por Peso:",Prescrição,IV
Perfil C — kg,,Perfil C,Média,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,,kg,kg: 6 a 60 ml/h,Item numerado 50. Cabeçalho próximo: Inotrópico,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-kg-kg-6-a-60-ml-h,Revisão pendente,Insuficiência Cardíaca,emergência,kg: 6 a 60 ml/h,Prescrição,
Perfil C — kg,,Perfil C,Média,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,,kg,"kg: 8,4 a 84 ml/h",Item numerado 70. Cabeçalho próximo: Inotrópico,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-kg-kg-8-4-a-84-ml-h,Revisão pendente,Insuficiência Cardíaca,emergência,"kg: 8,4 a 84 ml/h",Prescrição,
Perfil C — kg,,Perfil C,Média,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,,kg,"kg: 10 a 108 ml/h
Diurético",Item numerado 90. Cabeçalho próximo: Inotrópico,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-kg-kg-10-a-108-ml-h-diuretico,Revisão pendente,Insuficiência Cardíaca,emergência,"kg: 10 a 108 ml/h
Diurético",Prescrição,
Perfil C — Furosemida (20mg/2ml),,Perfil C,Alta,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,,Furosemida (20mg/2ml),"Furosemida (20mg/2ml)
º Dose: 0,5-1 mg/kg IV bolus
º Repetir se necessário, máximo de 240 mg/dia
Vasodilatador",Item numerado 2. Cabeçalho próximo: Inotrópico,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-furosemida-20mg-2ml-furosemida-20mg-2ml-o-dose-0-5-1-mg-kg-iv-bolus-o-repetir-se-necessario-maxi,Revisão pendente,Insuficiência Cardíaca,emergência,"Furosemida (20mg/2ml)
º Dose: 0,5-1 mg/kg IV bolus
º Repetir se necessário, máximo de 240 mg/dia
Vasodilatador",Prescrição,IV
Perfil C — Nitroglicerina (25mg/5ml),,Perfil C,Alta,PS,,"º Diluição: 2 ampolas em 240 ml de SF 0,9%.",,,Cardiologia,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,,Nitroglicerina (25mg/5ml),"Nitroglicerina (25mg/5ml)
º Diluição: 2 ampolas em 240 ml de SF 0,9%.
º Dose: 5 a 200 mcg/min - IV em BIC
º Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos (máximo
de 60 ml/h).",Item numerado 3. Cabeçalho próximo: Inotrópico,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-nitroglicerina-25mg-5ml-nitroglicerina-25mg-5ml-o-diluicao-2-ampolas-em-240-ml-de-sf-0-9-o-dose-5,Revisão pendente,Insuficiência Cardíaca,emergência,"Nitroglicerina (25mg/5ml)
º Diluição: 2 ampolas em 240 ml de SF 0,9%.
º Dose: 5 a 200 mcg/min - IV em BIC
º Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos (máximo
de 60 ml/h).",Prescrição,IV
"Perfil L — Soro Fisiológico 0,9% (20mg/2ml)",,Perfil L,Alta,PS,,"Soro Fisiológico 0,9% (20mg/2ml) | Se ausência de melhora com SF 0,9%",,,Cardiologia,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,,"Soro Fisiológico 0,9% (20mg/2ml)","Soro Fisiológico 0,9% (20mg/2ml)
º Alíquotas de 250 ml, IV lento.
º Reavaliar (ausculta) após administração.
º Repetir alíquotas se necessário e tolerado.
Se ausência de melhora com SF 0,9%",Item numerado 1. Cabeçalho próximo: Fluidoterapia,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-soro-fisiologico-0-9-20mg-2ml-soro-fisiologico-0-9-20mg-2ml-o-aliquotas-de-250-ml-iv-lento-o-reavaliar-a,Revisão pendente,Insuficiência Cardíaca,emergência,"Soro Fisiológico 0,9% (20mg/2ml)
º Alíquotas de 250 ml, IV lento.
º Reavaliar (ausculta) após administração.
º Repetir alíquotas se necessário e tolerado.
Se ausência de melhora com SF 0,9%",Prescrição,IV
Perfil L — Dobutamina (250mg/20ml),,Perfil L,Alta,PS,,"º Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC",,,Cardiologia,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,,Dobutamina (250mg/20ml),"Dobutamina (250mg/20ml)
º Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
º Dose: 2 a 20 mcg/kg/min.
º Vazão por Peso:",Item numerado 2. Cabeçalho próximo: Fluidoterapia,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-dobutamina-250mg-20ml-dobutamina-250mg-20ml-o-diluicao-1-ampola-230-ml-de-sf-0-9-iv-em-bic-o-d,Revisão pendente,Insuficiência Cardíaca,emergência,"Dobutamina (250mg/20ml)
º Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
º Dose: 2 a 20 mcg/kg/min.
º Vazão por Peso:",Prescrição,IV
Perfil L — kg,,Perfil L,Média,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,,kg,kg: 6 a 60 ml/h,Item numerado 50. Cabeçalho próximo: Fluidoterapia,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-kg-kg-6-a-60-ml-h,Revisão pendente,Insuficiência Cardíaca,emergência,kg: 6 a 60 ml/h,Prescrição,
Perfil L — kg,,Perfil L,Média,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,,kg,"kg: 8,4 a 84 ml/h",Item numerado 70. Cabeçalho próximo: Fluidoterapia,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-kg-kg-8-4-a-84-ml-h,Revisão pendente,Insuficiência Cardíaca,emergência,"kg: 8,4 a 84 ml/h",Prescrição,
Perfil L — kg,,Perfil L,Média,PS,,,,,Cardiologia,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,,kg,kg: 10 a 108 ml/h,Item numerado 90. Cabeçalho próximo: Fluidoterapia,,,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-kg-kg-10-a-108-ml-h,Revisão pendente,Insuficiência Cardíaca,emergência,kg: 10 a 108 ml/h,Prescrição,
Abdomen Agudo Obstrutivo — Internação,,Abdomen Agudo Obstrutivo,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Internação,Internação,Item numerado 1. Cabeçalho próximo: Conduta no PS,,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-internacao-internacao,Revisão pendente,,emergência,Internação,Conduta,
Abdomen Agudo Obstrutivo — Avaliação da cirurgia geral,,Abdomen Agudo Obstrutivo,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Avaliação da cirurgia geral,Avaliação da cirurgia geral,Item numerado 2. Cabeçalho próximo: Conduta no PS,,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-avaliacao-da-cirurgia-geral-avaliacao-da-cirurgia-geral,Revisão pendente,,emergência,Avaliação da cirurgia geral,Conduta,
Abdomen Agudo Obstrutivo — Jejum,,Abdomen Agudo Obstrutivo,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Jejum,Jejum,Item numerado 3. Cabeçalho próximo: Conduta no PS,,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-jejum-jejum,Revisão pendente,,emergência,Jejum,Conduta,
Abdomen Agudo Obstrutivo — Sondagem nasogástrica,,Abdomen Agudo Obstrutivo,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Sondagem nasogástrica,Sondagem nasogástrica,Item numerado 4. Cabeçalho próximo: Conduta no PS,,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-sondagem-nasogastrica-sondagem-nasogastrica,Revisão pendente,,emergência,Sondagem nasogástrica,Conduta,
Abdomen Agudo Obstrutivo — Correção de distúrbios hidroeletrolíticos,,Abdomen Agudo Obstrutivo,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Correção de distúrbios hidroeletrolíticos,Correção de distúrbios hidroeletrolíticos,Item numerado 5. Cabeçalho próximo: Conduta no PS,,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-correcao-de-disturbios-hidroeletroliticos-correcao-de-disturbios-hidroeletroliticos,Revisão pendente,,emergência,Correção de distúrbios hidroeletrolíticos,Conduta,
Abdomen Agudo Obstrutivo — Antibioticoterapia,,Abdomen Agudo Obstrutivo,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Antibioticoterapia,Antibioticoterapia,Item numerado 6. Cabeçalho próximo: Conduta no PS,,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-antibioticoterapia-antibioticoterapia,Revisão pendente,,emergência,Antibioticoterapia,Conduta,
Abdomen Agudo Obstrutivo — Controle de sintomas,,Abdomen Agudo Obstrutivo,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Controle de sintomas,Controle de sintomas,Item numerado 7. Cabeçalho próximo: Conduta no PS,,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-controle-de-sintomas-controle-de-sintomas,Revisão pendente,,emergência,Controle de sintomas,Conduta,
"Abdomen Agudo Obstrutivo — SF 0,9% 1000 ml",,Abdomen Agudo Obstrutivo,Alta,Não especificado,,"SF 0,9% 1000 ml - EV em 1 hora, se desidratação",,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,,"SF 0,9% 1000 ml","SF 0,9% 1000 ml - EV em 1 hora, se desidratação","Item numerado 2. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-sf-0-9-1000-ml-sf-0-9-1000-ml-ev-em-1-hora-se-desidratacao,Revisão pendente,,,"SF 0,9% 1000 ml - EV em 1 hora, se desidratação",Prescrição,EV
"Abdomen Agudo Obstrutivo — SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml",,Abdomen Agudo Obstrutivo,Alta,Não especificado,,"SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml",,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,12/12h,"SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml","SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml
EV 12/12h","Item numerado 3. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-sg-5-1-000ml-nacl-20-40ml-kcl-19-1-10ml-sg-5-1-000ml-nacl-20-40ml-kcl-19-1-10ml-ev-12-12h,Revisão pendente,,,"SG 5% 1.000ml + NaCl 20% 40ml + KCl 19,1% 10ml
EV 12/12h",Prescrição,EV
Abdomen Agudo Obstrutivo — Ceftriaxone 1g EV 12/12h,,Abdomen Agudo Obstrutivo,Alta,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,12/12h,Ceftriaxone 1g EV 12/12h,Ceftriaxone 1g EV 12/12h,"Item numerado 4. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-ceftriaxone-1g-ev-12-12h-ceftriaxone-1g-ev-12-12h,Revisão pendente,,antibiótico,Ceftriaxone 1g EV 12/12h,Prescrição,EV
Abdomen Agudo Obstrutivo — Metronidazol 500mg EV 8/8h,,Abdomen Agudo Obstrutivo,Alta,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,8/8h,Metronidazol 500mg EV 8/8h,Metronidazol 500mg EV 8/8h,"Item numerado 5. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-metronidazol-500mg-ev-8-8h-metronidazol-500mg-ev-8-8h,Revisão pendente,,,Metronidazol 500mg EV 8/8h,Prescrição,EV
Abdomen Agudo Obstrutivo — Dipirona 1g EV 6/6h se dor ou febre,,Abdomen Agudo Obstrutivo,Alta,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,6/6h,Dipirona 1g EV 6/6h se dor ou febre,Dipirona 1g EV 6/6h se dor ou febre,"Item numerado 6. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-dipirona-1g-ev-6-6h-se-dor-ou-febre-dipirona-1g-ev-6-6h-se-dor-ou-febre,Revisão pendente,,analgésico,Dipirona 1g EV 6/6h se dor ou febre,Prescrição,EV
Abdomen Agudo Obstrutivo — Tramadol 100mg EV 8/8h se dor intensa,,Abdomen Agudo Obstrutivo,Alta,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,8/8h,Tramadol 100mg EV 8/8h se dor intensa,Tramadol 100mg EV 8/8h se dor intensa,"Item numerado 7. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-tramadol-100mg-ev-8-8h-se-dor-intensa-tramadol-100mg-ev-8-8h-se-dor-intensa,Revisão pendente,,analgésico,Tramadol 100mg EV 8/8h se dor intensa,Prescrição,EV
Abdomen Agudo Obstrutivo — Ondansetrona 8mg EV 8/8h se náuseas/vômitos,,Abdomen Agudo Obstrutivo,Alta,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,8/8h,Ondansetrona 8mg EV 8/8h se náuseas/vômitos,Ondansetrona 8mg EV 8/8h se náuseas/vômitos,"Item numerado 8. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-ondansetrona-8mg-ev-8-8h-se-nauseas-vomitos-ondansetrona-8mg-ev-8-8h-se-nauseas-vomitos,Revisão pendente,,,Ondansetrona 8mg EV 8/8h se náuseas/vômitos,Prescrição,EV
Abdomen Agudo Obstrutivo — Omeprazol 40 mg,,Abdomen Agudo Obstrutivo,Alta,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,,Omeprazol 40 mg,Omeprazol 40 mg - EV,"Item numerado 9. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-omeprazol-40-mg-omeprazol-40-mg-ev,Revisão pendente,,,Omeprazol 40 mg - EV,Prescrição,EV
Abdomen Agudo Obstrutivo — Escopolamina 20 mg,,Abdomen Agudo Obstrutivo,Alta,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,22,Cirurgia Geral > Abdomen Agudo Obstrutivo,de 8/8h; 8/8h,Escopolamina 20 mg,"Escopolamina 20 mg - EV, de 8/8h","Item numerado 10. Cabeçalho próximo: ",,,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-escopolamina-20-mg-escopolamina-20-mg-ev-de-8-8h,Revisão pendente,,,"Escopolamina 20 mg - EV, de 8/8h",Prescrição,EV
