titulo,especialidade,condicao_clinica,subcondicao,contexto,tipo_de_conduta,medicamento,apresentacao,dose,via,frequencia,duracao,diluicao,modo_de_uso,orientacoes,sinais_de_alerta,cuidados,observacoes,tags,fonte_arquivo,fonte_pagina,fonte_secao,texto_original,confianca_extracao,status_revisao,slug
Perfil B — Furosemida (20mg/2ml),Cardiologia,Perfil B,Insuficiência Cardíaca,PS,Prescrição,Furosemida (20mg/2ml),20mg/2ml,"0,5-1 mg/kg IV bolus",EV,,,,"Furosemida (20mg/2ml)
 Dose: 0,5-1 mg/kg IV bolus
 Repetir se necessário, máximo de 240 mg/dia
Vasodilatador","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 1. Cabeçalho próximo: Diurético | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,17,Cardiologia > Insuficiência Cardíaca > Perfil B,"Furosemida (20mg/2ml)
 Dose: 0,5-1 mg/kg IV bolus
 Repetir se necessário, máximo de 240 mg/dia
Vasodilatador",Média,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-b-furosemida-20mg-2ml-furosemida-20mg-2ml-o-dose-0-5-1-mg-kg-iv-bolus-o-repetir-se-necessario-maxi
Perfil B — Nitroglicerina (25mg/5ml),Cardiologia,Perfil B,Insuficiência Cardíaca,PS,Prescrição,Nitroglicerina (25mg/5ml),25mg/5ml,5 a 200 mcg/min - IV em BIC,EV,,,"Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.","Nitroglicerina (25mg/5ml)
 Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
 Dose: 5 a 200 mcg/min - IV em BIC
 Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 2. Cabeçalho próximo: Diurético | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,17,Cardiologia > Insuficiência Cardíaca > Perfil B,"Nitroglicerina (25mg/5ml)
 Diluição: Diluir 2 ampolas em 240 ml de SF 0,9%.
 Dose: 5 a 200 mcg/min - IV em BIC
 Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos
(máximo de 60 ml/h).",Média,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-b-nitroglicerina-25mg-5ml-nitroglicerina-25mg-5ml-o-diluicao-diluir-2-ampolas-em-240-ml-de-sf-0-9-o-d
Perfil C — Dobutamina (250mg/20ml),Cardiologia,Perfil C,Insuficiência Cardíaca,PS,Prescrição,Dobutamina (250mg/20ml),250mg/20ml,2 a 20 mcg/kg/min.,EV,,,"Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC","Dobutamina (250mg/20ml)
 Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
 Dose: 2 a 20 mcg/kg/min.
 Vazão por Peso:","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 1. Cabeçalho próximo: Inotrópico | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,"Dobutamina (250mg/20ml)
 Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
 Dose: 2 a 20 mcg/kg/min.
 Vazão por Peso:",Média,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-dobutamina-250mg-20ml-dobutamina-250mg-20ml-o-diluicao-1-ampola-230-ml-de-sf-0-9-iv-em-bic-o-d
Perfil C — kg,Cardiologia,Perfil C,Insuficiência Cardíaca,PS,Prescrição,kg,60 ml,60 ml,,,,,kg: 6 a 60 ml/h,"Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 50. Cabeçalho próximo: Inotrópico | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,kg: 6 a 60 ml/h,Baixa,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-kg-kg-6-a-60-ml-h
Perfil C — kg,Cardiologia,Perfil C,Insuficiência Cardíaca,PS,Prescrição,kg,84 ml,84 ml,,,,,"kg: 8,4 a 84 ml/h","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 70. Cabeçalho próximo: Inotrópico | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,"kg: 8,4 a 84 ml/h",Baixa,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-kg-kg-8-4-a-84-ml-h
Perfil C — kg,Cardiologia,Perfil C,Insuficiência Cardíaca,PS,Prescrição,kg,108 ml,108 ml,,,,,"kg: 10 a 108 ml/h
Diurético","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 90. Cabeçalho próximo: Inotrópico | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,"kg: 10 a 108 ml/h
Diurético",Baixa,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-kg-kg-10-a-108-ml-h-diuretico
Perfil C — Furosemida (20mg/2ml),Cardiologia,Perfil C,Insuficiência Cardíaca,PS,Prescrição,Furosemida (20mg/2ml),20mg/2ml,"0,5-1 mg/kg IV bolus",EV,,,,"Furosemida (20mg/2ml)
 Dose: 0,5-1 mg/kg IV bolus
 Repetir se necessário, máximo de 240 mg/dia
Vasodilatador","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 2. Cabeçalho próximo: Inotrópico | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,"Furosemida (20mg/2ml)
 Dose: 0,5-1 mg/kg IV bolus
 Repetir se necessário, máximo de 240 mg/dia
Vasodilatador",Média,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-furosemida-20mg-2ml-furosemida-20mg-2ml-o-dose-0-5-1-mg-kg-iv-bolus-o-repetir-se-necessario-maxi
Perfil C — Nitroglicerina (25mg/5ml),Cardiologia,Perfil C,Insuficiência Cardíaca,PS,Prescrição,Nitroglicerina (25mg/5ml),25mg/5ml,5 a 200 mcg/min - IV em BIC,EV,,,"Diluição: 2 ampolas em 240 ml de SF 0,9%.","Nitroglicerina (25mg/5ml)
 Diluição: 2 ampolas em 240 ml de SF 0,9%.
 Dose: 5 a 200 mcg/min - IV em BIC
 Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos (máximo
de 60 ml/h).","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 3. Cabeçalho próximo: Inotrópico | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,18,Cardiologia > Insuficiência Cardíaca > Perfil C,"Nitroglicerina (25mg/5ml)
 Diluição: 2 ampolas em 240 ml de SF 0,9%.
 Dose: 5 a 200 mcg/min - IV em BIC
 Infusão:
Iniciar com 1,5 ml/h (5 mcg/min).
Aumentar 1,5 ml/h a cada 5 minutos (máximo
de 60 ml/h).",Média,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-c-nitroglicerina-25mg-5ml-nitroglicerina-25mg-5ml-o-diluicao-2-ampolas-em-240-ml-de-sf-0-9-o-dose-5
"Perfil L — Soro Fisiológico 0,9% (20mg/2ml)",Cardiologia,Perfil L,Insuficiência Cardíaca,PS,Prescrição,"Soro Fisiológico 0,9% (20mg/2ml)",20mg/2ml,20mg,EV,,,"Soro Fisiológico 0,9% (20mg/2ml) | Se ausência de melhora com SF 0,9%","Soro Fisiológico 0,9% (20mg/2ml)
 Alíquotas de 250 ml, IV lento.
 Reavaliar (ausculta) após administração.
 Repetir alíquotas se necessário e tolerado.
Se ausência de melhora com SF 0,9%","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 1. Cabeçalho próximo: Fluidoterapia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,"Soro Fisiológico 0,9% (20mg/2ml)
 Alíquotas de 250 ml, IV lento.
 Reavaliar (ausculta) após administração.
 Repetir alíquotas se necessário e tolerado.
Se ausência de melhora com SF 0,9%",Média,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-soro-fisiologico-0-9-20mg-2ml-soro-fisiologico-0-9-20mg-2ml-o-aliquotas-de-250-ml-iv-lento-o-reavaliar-a
Perfil L — Dobutamina (250mg/20ml),Cardiologia,Perfil L,Insuficiência Cardíaca,PS,Prescrição,Dobutamina (250mg/20ml),250mg/20ml,2 a 20 mcg/kg/min.,EV,,,"Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC","Dobutamina (250mg/20ml)
 Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
 Dose: 2 a 20 mcg/kg/min.
 Vazão por Peso:","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 2. Cabeçalho próximo: Fluidoterapia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,"Dobutamina (250mg/20ml)
 Diluição: 1 ampola + 230 ml de SF 0,9% - IV em BIC
 Dose: 2 a 20 mcg/kg/min.
 Vazão por Peso:",Média,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-dobutamina-250mg-20ml-dobutamina-250mg-20ml-o-diluicao-1-ampola-230-ml-de-sf-0-9-iv-em-bic-o-d
Perfil L — kg,Cardiologia,Perfil L,Insuficiência Cardíaca,PS,Prescrição,kg,60 ml,60 ml,,,,,kg: 6 a 60 ml/h,"Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 50. Cabeçalho próximo: Fluidoterapia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,kg: 6 a 60 ml/h,Baixa,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-kg-kg-6-a-60-ml-h
Perfil L — kg,Cardiologia,Perfil L,Insuficiência Cardíaca,PS,Prescrição,kg,84 ml,84 ml,,,,,"kg: 8,4 a 84 ml/h","Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 70. Cabeçalho próximo: Fluidoterapia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,"kg: 8,4 a 84 ml/h",Baixa,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-kg-kg-8-4-a-84-ml-h
Perfil L — kg,Cardiologia,Perfil L,Insuficiência Cardíaca,PS,Prescrição,kg,108 ml,108 ml,,,,,kg: 10 a 108 ml/h,"Avaliar saturação, ECG, congestão, perfusão, função renal e necessidade de suporte ventilatório.","Choque, hipoxemia, dor torácica, síncope, arritmia instável, edema agudo de pulmão, alteração de consciência.","Diurético, nitrato e suporte ventilatório dependem de PA, volemia, perfusão e protocolo institucional.",Item numerado 90. Cabeçalho próximo: Fluidoterapia | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,19,Cardiologia > Insuficiência Cardíaca > Perfil L,kg: 10 a 108 ml/h,Baixa,Não usar sem validação,pdf-cardiologia-insuficiencia-cardiaca-perfil-l-kg-kg-10-a-108-ml-h
Abdomen Agudo Obstrutivo — Internação,Cirurgia Geral,Abdomen Agudo Obstrutivo,,PS,Conduta,Internação,,,,,,,Internação,"Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: Conduta no PS | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,21,Cirurgia Geral > Abdomen Agudo Obstrutivo,Internação,Baixa,Não usar sem validação,pdf-cirurgia-geral-abdomen-agudo-obstrutivo-internacao-internacao
